date,low_price,high_price,close_price,open_price,volume
2021-04-02 09:10:00,59456.56,59517.91,59517.9,59465.66,3.60919163
2021-04-02 09:11:00,59480.1,59493.92,59482.21,59493.92,0.73999279
2021-04-02 09:12:00,59452.98,59482.21,59452.99,59482.21,1.28280415
2021-04-02 09:13:00,59431.25,59469.4,59431.25,59452.99,1.16656787
2021-04-02 09:14:00,59345.1,59438.39,59366.04,59438.39,26.86673994
2021-04-02 09:15:00,59366.15,59411.39,59384.34,59366.15,2.68901368
2021-04-02 09:16:00,59384.34,59469.45,59445.78,59384.34,6.49974425
2021-04-02 09:17:00,59388.58,59440.06,59396.4,59440.06,1.95660715
2021-04-02 09:18:00,59396.41,59421.37,59404.01,59396.41,0.44047061
2021-04-02 09:19:00,59390.65,59417.8,59390.65,59400.66,22.73252728
2021-04-02 09:20:00,59245.16,59426.62,59284.5,59396.4,46.06142282
2021-04-02 09:21:00,59271.38,59380.01,59380.0,59300.11,20.49147378
2021-04-02 09:22:00,59362.57,59382.05,59380.01,59380.01,15.87209222
2021-04-02 09:23:00,59377.3,59414.27,59409.56,59380.0,13.56942251
2021-04-02 09:24:00,59404.59,59474.73,59468.52,59408.91,16.22344411
2021-04-02 09:25:00,59445.57,59474.86,59449.21,59468.51,1.83800418
2021-04-02 09:26:00,59394.53,59459.91,59459.91,59449.21,13.62465973
2021-04-02 09:27:00,59442.57,59488.19,59488.19,59460.0,11.55290123
2021-04-02 09:28:00,59460.02,59486.46,59460.13,59486.34,0.37964922
2021-04-02 09:29:00,59460.01,59500.0,59500.0,59460.13,19.38562606
2021-04-02 09:30:00,59475.1,59500.0,59477.75,59496.17,22.93693148
2021-04-02 09:31:00,59456.57,59513.99,59506.38,59477.75,21.17715897
2021-04-02 09:32:00,59506.37,59539.41,59538.26,59506.38,15.16756888
2021-04-02 09:33:00,59516.27,59539.41,59535.0,59538.26,17.78076774
2021-04-02 09:34:00,59535.0,59606.61,59596.56,59535.0,5.36707589
2021-04-02 09:35:00,59569.29,59608.6,59608.59,59596.57,2.21274262
2021-04-02 09:36:00,59583.12,59638.48,59583.21,59608.6,2.28282188
2021-04-02 09:37:00,59569.99,59592.5,59583.18,59589.14,0.36924383
2021-04-02 09:38:00,59579.25,59583.21,59582.74,59582.58,0.30085479
2021-04-02 09:39:00,59582.73,59650.53,59629.52,59582.73,6.57175819
2021-04-02 09:40:00,59626.93,59649.34,59640.76,59629.52,2.99434685
2021-04-02 09:41:00,59628.22,59649.35,59646.57,59637.97,1.86272241
2021-04-02 09:42:00,59603.38,59646.57,59639.74,59646.57,4.61220937
2021-04-02 09:43:00,59604.61,59639.74,59604.62,59636.29,1.16339909
2021-04-02 09:44:00,59592.64,59611.8,59611.7,59604.62,3.33701015
2021-04-02 09:45:00,59599.89,59614.43,59602.15,59611.7,1.26509432
2021-04-02 09:46:00,59600.0,59602.16,59602.15,59602.15,1.97020397
2021-04-02 09:47:00,59602.15,59686.5,59684.92,59602.15,2.58686393
2021-04-02 09:48:00,59647.07,59686.5,59662.12,59684.93,1.55694201
2021-04-02 09:49:00,59648.67,59686.42,59677.41,59655.67,1.39362281
2021-04-02 09:50:00,59677.41,59688.02,59688.02,59677.41,1.37014638
2021-04-02 09:51:00,59681.27,59690.09,59682.28,59688.01,1.51532262
2021-04-02 09:52:00,59623.52,59684.3,59628.53,59684.3,2.38193809
2021-04-02 09:53:00,59617.54,59675.1,59662.84,59621.96,4.00431971
2021-04-02 09:54:00,59641.22,59662.84,59647.0,59662.84,2.45282133
2021-04-02 09:55:00,59630.91,59647.2,59631.04,59647.18,1.44400182
2021-04-02 09:56:00,59632.09,59661.01,59643.14,59632.09,1.11271367
2021-04-02 09:57:00,59627.87,59643.14,59634.5,59643.14,0.85845774
2021-04-02 09:58:00,59626.95,59639.39,59635.77,59634.8,1.50898653
2021-04-02 09:59:00,59627.25,59645.54,59641.67,59631.58,1.00312757
2021-04-02 10:00:00,59576.29,59641.67,59579.3,59641.67,2.26791907
2021-04-02 10:01:00,59561.12,59618.28,59573.97,59579.3,5.79776942
2021-04-02 10:02:00,59573.04,59609.57,59599.33,59573.93,3.21966384
2021-04-02 10:03:00,59577.63,59599.35,59577.84,59595.7,2.14606868
2021-04-02 10:04:00,59575.87,59608.87,59606.19,59575.87,1.3086735
2021-04-02 10:05:00,59595.8,59606.2,59595.81,59606.2,0.34402879
2021-04-02 10:06:00,59571.55,59595.81,59571.56,59595.81,0.96688617
2021-04-02 10:07:00,59568.02,59571.56,59571.16,59571.56,0.94043572
2021-04-02 10:08:00,59505.93,59571.17,59551.09,59571.17,6.04663808
2021-04-02 10:09:00,59504.59,59551.08,59508.76,59551.08,0.49217972
2021-04-02 10:10:00,59504.18,59523.25,59505.51,59508.67,1.82012775
2021-04-02 10:11:00,59505.51,59531.29,59524.62,59505.52,1.05333501
2021-04-02 10:12:00,59494.71,59525.38,59495.83,59524.62,0.90348214
2021-04-02 10:13:00,59467.08,59495.83,59478.73,59495.83,1.61656596
2021-04-02 10:14:00,59470.96,59495.83,59489.8,59479.25,1.43227108
2021-04-02 10:15:00,59479.04,59561.99,59556.61,59485.04,8.00050476
2021-04-02 10:16:00,59556.61,59617.66,59606.08,59556.61,4.51274126
2021-04-02 10:17:00,59548.81,59606.1,59554.74,59606.09,0.48896007
2021-04-02 10:18:00,59560.93,59573.56,59573.56,59561.12,0.69419261
2021-04-02 10:19:00,59557.83,59573.56,59557.89,59573.56,0.88972749
2021-04-02 10:20:00,59557.89,59602.39,59602.39,59557.89,0.63917852
2021-04-02 10:21:00,59593.56,59618.51,59594.9,59608.1,1.00861611
2021-04-02 10:22:00,59594.9,59610.21,59601.01,59594.9,3.40920792
2021-04-02 10:23:00,59601.0,59624.34,59624.34,59601.01,0.62208046
2021-04-02 10:24:00,59623.37,59662.44,59661.39,59624.34,0.5695364
2021-04-02 10:25:00,59614.39,59661.39,59614.39,59661.38,0.34851958
2021-04-02 10:26:00,59565.71,59614.39,59593.55,59614.39,2.67582637
2021-04-02 10:27:00,59590.9,59634.1,59634.1,59590.9,1.76735993
2021-04-02 10:28:00,59631.3,59642.51,59631.47,59634.1,0.62474262
