begins_at,open_price_x,close_price_x,high_price_x,low_price_x,volume_x,session_x,interpolated_x,symbol_x,open_price_y,close_price_y,high_price_y,low_price_y,volume_y,session_y,interpolated_y,symbol_y
2021-03-22T00:55:00Z,56679.740000,56600.570000,57213.970000,56412.795000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:00:00Z,56717.685000,56552.445000,57332.035000,56305.225000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:05:00Z,56552.445000,56680.080000,57195.885000,56231.455000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:10:00Z,56555.875000,56622.185000,56930.192333,56419.125000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:15:00Z,56504.860000,56469.310000,57055.920000,56280.780233,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:20:00Z,56469.310000,56508.985000,56886.860000,56182.045000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:25:00Z,56508.985000,56512.505000,57090.205000,56149.320000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:30:00Z,56512.505000,56585.665000,56816.690000,56275.801456,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:35:00Z,56466.725000,56527.210000,57023.885000,56330.205000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:40:00Z,56643.700000,56613.865000,57254.880000,56363.215000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:45:00Z,56613.865000,56720.775000,58019.165000,56401.005000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:50:00Z,56836.870000,56581.000000,58028.915000,56382.082338,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T01:55:00Z,56581.000000,56669.615000,58127.980000,56379.984963,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:00:00Z,56669.615000,56552.590000,58038.745000,56333.205920,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:05:00Z,56434.750000,56554.755000,58063.895000,56252.920000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:10:00Z,56554.755000,56734.525000,58046.955000,56348.485000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:15:00Z,56734.525000,56870.690000,58210.945000,56447.875000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:20:00Z,56870.690000,57021.715000,58253.325000,56541.155000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:25:00Z,56901.705000,56916.720000,58244.775000,56689.995000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:30:00Z,56869.060000,56879.105000,57143.820000,56608.720000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:35:00Z,56862.315000,56941.895000,58335.940000,56647.800000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:40:00Z,56941.895000,56947.060000,58250.330000,56611.805000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:45:00Z,56947.060000,56936.650000,58172.775000,56729.215000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:50:00Z,56936.650000,56961.795000,57155.905000,56691.058105,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T02:55:00Z,56840.140000,57026.475000,58222.490000,56754.305000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:00:00Z,57150.050000,57069.995000,58295.515000,56713.685000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:05:00Z,57069.995000,57150.520000,58388.875000,56759.290000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:10:00Z,57032.955000,57279.895000,57462.720000,56900.220000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:15:00Z,57406.750000,57623.155000,58597.345000,57136.505000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:20:00Z,57498.875000,57412.035000,58675.540000,57263.375000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:25:00Z,57412.035000,57383.110000,58638.440000,57060.350000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:30:00Z,57383.110000,57495.380000,57675.360000,57139.530000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:35:00Z,57495.380000,57380.540000,57643.345000,57239.445000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:40:00Z,57250.950000,57309.130000,57599.100000,57060.025000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:45:00Z,57291.330000,57362.005000,58729.320000,57087.680000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:50:00Z,57236.105000,57503.925000,58760.600000,57078.745000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T03:55:00Z,57631.290000,57571.885000,57856.800000,57414.635000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:00:00Z,57453.575000,57548.065000,57842.730000,57338.140000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:05:00Z,57669.470000,57589.325000,57872.055000,57261.685000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:10:00Z,57589.325000,57681.685000,57903.200000,57331.140000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:15:00Z,57555.400000,57840.415000,58908.555000,57442.360000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:20:00Z,57720.485000,57849.560000,58038.480000,57648.000000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:25:00Z,57977.275000,57812.895000,58954.655000,57551.516157,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:30:00Z,57691.105000,57677.600000,58891.305000,57370.790000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:35:00Z,57563.860000,57722.500000,57891.635000,57364.440000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:40:00Z,57602.985000,57686.130000,57890.195000,57393.325000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:45:00Z,57686.130000,57531.990000,58744.155000,57218.430000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:50:00Z,57531.990000,57534.275000,58840.435000,57375.680000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T04:55:00Z,57652.550000,57661.835000,57841.025000,57319.780000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:00:00Z,57790.865000,57484.040000,58803.230000,57342.965000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:05:00Z,57484.040000,57508.210000,57698.905000,57314.715697,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:10:00Z,57391.565000,57601.285000,57769.010000,57209.840000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:15:00Z,57601.285000,57538.095000,57813.260000,57205.650000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:20:00Z,57661.720000,57387.170000,58768.965000,57250.285000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:25:00Z,57387.170000,57392.040000,57636.800000,57211.510000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:30:00Z,57271.435000,57451.620000,57620.850000,57218.610000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:35:00Z,57571.945000,57505.060000,57668.680000,57165.065000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:40:00Z,57505.060000,57499.730000,57708.675000,57201.240000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:45:00Z,57499.730000,57689.575000,57903.755000,57278.035000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:50:00Z,57818.595000,57704.690000,58820.980000,57326.670000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T05:55:00Z,57704.690000,57660.525000,58806.305000,57487.780000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:00:00Z,57782.820000,57789.125000,58092.815000,57478.655000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:05:00Z,57789.125000,57795.335000,58139.680000,57443.850000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:10:00Z,57795.335000,57747.740000,57950.235000,57506.840395,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:15:00Z,57747.740000,57654.800000,57965.580000,57458.427378,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:20:00Z,57654.800000,57731.480000,57903.870000,57338.000000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:25:00Z,57849.620000,57879.145000,58028.715000,57533.190000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:30:00Z,58003.950000,57703.780000,58051.802726,57374.905000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:35:00Z,57703.780000,57749.130000,58097.980000,57357.430000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:40:00Z,57749.130000,57853.425000,58013.745000,57603.415000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:45:00Z,57853.425000,57851.115000,58079.780000,57503.475000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:50:00Z,57851.115000,57755.010000,57990.005000,57596.075000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T06:55:00Z,57755.010000,57689.300000,58084.635000,57563.345000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:00:00Z,57689.300000,57661.120000,57870.145000,57457.770000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:05:00Z,57661.120000,57649.110000,57923.055000,57322.215000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:10:00Z,57649.110000,57642.715000,57830.400000,57471.180000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:15:00Z,57642.715000,57828.215000,57989.660000,57504.130000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:20:00Z,57953.040000,57779.355000,58007.520000,57454.190000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:25:00Z,57662.020000,57843.805000,58021.105000,57458.685000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:30:00Z,57966.465000,57748.380000,58075.905000,57594.120000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:35:00Z,57748.380000,57678.130000,57952.365000,57521.240000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:40:00Z,57678.130000,57687.895000,58010.775000,57513.655000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:45:00Z,57687.895000,57771.450000,57977.284919,57538.680000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:50:00Z,57771.450000,57617.970000,57921.590000,57444.025000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T07:55:00Z,57617.970000,57623.125000,58004.880000,57298.705000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:00:00Z,57632.265000,57653.620000,57945.835000,57409.276491,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:05:00Z,57653.620000,57517.260000,57824.705000,57360.260000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:10:00Z,57517.260000,57593.135000,57748.280000,57212.180000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:15:00Z,57593.135000,57711.610000,57890.025000,57319.835000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:20:00Z,57588.465000,57638.585000,57923.920000,57391.685000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:25:00Z,57521.020000,57490.980000,57954.455000,57326.255000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:30:00Z,57619.095000,57541.345000,57824.595000,57296.960000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:35:00Z,57664.645000,57425.540000,57701.380000,57233.920000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:40:00Z,57425.540000,57287.605000,57567.830000,57028.785000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:45:00Z,57408.390000,57328.805000,57546.635000,57033.665000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:50:00Z,57328.805000,57213.945000,57583.825000,57039.055000,0,reg,False,BTCUSD,,,,,,,,
2021-03-22T08:55:00Z,57341.790000,57242.620000,57662.440000,57006.225000,0,reg,False,BTCUSD,,,,,,,,
